"dyad_id","Age.Years_Child","WJCalc_Child","WJCalc_Parent","NumLine_Child","NumLine_Parent","HLE_Child"
2,7.333333333,9,28,8.374074507,1.916049284,1.857142857
3,6.583333333,4,18,3.803703403,2.877778089,1.357142857
4,4.25,0,30,35.19259274,1.775308302,0.642857143
5,5.083333333,0,39,45.33456794,1.200000159,1.214285714
6,5.583333333,1,30,29.24197512,1.839506199,0.928571429
7,7.666666667,11,30,20.78027713,1.839506199,1.071428571
8,7.333333333,9,29,6.855555662,2.423456533,1.571428571
9,5.75,5,26,21.15555526,5.130864246,1.714285714
10,7.333333333,13,36,10.35432111,1.975308619,2.785714286
11,5.583333333,2,36,34.29197524,1.975308619,3
12,5.583333333,7,36,10.53456786,1.29259212,0.785714286
13,8.5,16,36,3.402469482,1.29259212,1.285714286
14,6.333333333,9,30,12.5283953,3.107407418,1.285714286
15,8.75,13,41,5.301234756,0.853086624,1.214285714
16,6.833333333,5,25,3.359259105,4.233333294,1.071428571
17,5.333333333,5,39,12.55432111,1.148147861,1.142857143
20,6.416666667,8,34,13.60246967,2.407407602,1.142857143
22,7.583333333,12,39,5.034568139,0.993827467,2.5
23,8.75,15,25,4.103703602,4.864197751,1.357142857
24,6.416666667,8,30,10.70370384,4.456790368,1.714285714
25,8.083333333,13,23,6.038271829,1.391358348,2.142857143
26,8.666666667,15,26,2.051851871,3.935802199,2
27,6.583333333,7,18,13.17470424,1.561728664,1.428571429
28,8.75,13,36,2.932098905,3.923456339,0.714285714
29,5.833333333,5,34,26.12222183,2.093827462,0.785714286
30,7.333333333,11,35,4.528394667,2.765432288,0.642857143
32,7,10,30,11.30740771,1.750616946,3.571428571
34,8.583333333,21,28,1.359259522,1.585185798,1.928571429
35,6.583333333,5,22,25.87777788,5.003704178,1.928571429
36,8.166666667,15,26,3.462962506,2.895062029,2
37,6,4,21,15.41111155,2.807406998,3.928571429
